Data,CAN ID,Length(bytes),Index Used,IN/OUT,Description,,
CONTROL_MODE,0x580,1,0,,"Precision: 8 bits
Data: 
[7:0]: State.name (int enum)
Frequency: 100ms",,
IO_STATE,0x581,4,0,,"Precision: 32 bits
Data: 
[31:24] : Contactor Bitmap and Array on/off for BPS (bit 2 is if the array contactor should be on/off, bit 1 is MOTOR_CONTROLLER_BYPASS_PRECHARGE_CONTACTOR, and bit 0 is ARRAY_BYPASS_PRECHARGE_CONTACTOR)
[23: 16] : Switch Bitmap (from bit 7 to 0; BRAKELIGHT, CRUZ_ST, CRUZ_EN, REV_SW, FOR_SW, REGEN_SW, IGN_2, IGN_1)
[15:8] : Brake Pedal 
[7: 0] : Accel Pedal
Frequency: 250ms",,
Motor Controller Identification,0x240,8,0,,"Precision: 64 bits
Data: 
[32:63] : Device serial number
[0: 31] : Prohelion ID (0x00004003)
Frequency: 1000ms",,
Motor Status,0x241,8,0,,"Precision: 64 bits
Data: 
[63-56]: Receive error count (uint8_t)
[55-48]: Transmit error count (uint8_t)
[47-32]: Active Motor index (uint16_t)
[31:16]: Error Flags (uint16_t)
31-25: Reserved
24: Motor Over Speed
23: Desaturation fault
22: 15V rail under voltage lock out
21: Config read error
20: Watchdog caused last reset
19: Bad motor position hall sequence
18: DC Bus over voltage
17: Software over current
16: Hardware over current
[15:0]: Limit Flags
15-7: Reserved
6: IPM or Motor Temperature
5: Bus Voltage Lower Limit
4: Bus Voltage Upper Limit
3: Bus Current
2: Velocity
1: Motor Current
0: Output Voltage PWM
Frequency: 200ms",,
Motor Controller Bus,0x242,8,0,,"Precision: 64 bits
Data:
[63:32] : Bus Current (A)
[31:0] : Bus Voltage (V)
Frequency: 200ms",,
Velocity,0x243,8,0,,"Precision: 64 bits
Data:
[63:32] : Vehicle velocity (m/s)
[31:0] : Motor angular frequency (rpm)
Frequency: 200ms",,
Motor Controller Phase Current,0x244,8,0,,"Precision: 64 bits
Data:
[63:32] : Phase C current (A_rms)
[31:0] : Phase B current (A_rms)
Frequency: 200ms /// why were these all TBD?",,
Motor Voltage Vector,0x245,8,0,,"Precision: 64 bits
Data:
[63:32] : Vd, real component of voltage vector (V)
[31:0] : Vq, imaginary component of voltage vector (V)
Frequency: 200ms",,
Motor Current Vector,0x246,8,0,,"Precision: 64 bits
Data:
[63:32] : Id, real component of current vector (A)
[31:0] : Iq, imaginary component of current vector (A)
Frequency: 200ms",,
Motor BackEMF,0x247,8,0,,"Precision: 64 bits
Data:
[63:32] : Real component (always 0V by definition)
[31:0] : Peak of phase to neutral motor voltage (V)
Frequency: 200ms",,
15V Voltage Rail,0x248,8,0,,"Precision: 64 bits
Data:
[63:32] : Actual voltage of 15V rail
[31:0] : Reserved
Frequency: 1000ms",,
3.3V and 1.9V Voltage Rail Measurement,0x249,8,0,,"Precision: 64 bits
Data:
[63:32] : Actual voltage of 3.3V rail
[31:0] : Actual voltage of 1.9V DSP power rail
Frequency: 1000ms",,
Reserved,0x24A,8,0,,"Precision: 64 bits
Data: Reserved
Frequency: 1000ms",,
Motor Temperature,0x24B,8,0,,"Precision: 64 bits
Data:
[63:32] : Internal heat-sink temp (degrees C)
[31:0] : Internal motor temp (degrees C)
Frequency: 1000ms",,
DSP Board Temperature,0x24C,8,0,,"Precision: 64 bits
Data:
[63:32] : Reserved
[31:0] : DSP board temp (degrees C)
Frequency: 1000ms",,
Reserved,0x24D,8,0,,"Precision: 64 bits
Data: Reserved
Frequency: 1000ms",,
Odometer / Bus Amp Hours,0x24E,8,0,,"Precision: 64 bits
Data:
[63:32] : Charge flow into controller DC bus from reset (Ah)
[31:0] : Distance travelled since reset (m)
Frequency: 1000ms",,
Slip Speed Measurement,0x257,8,0,,"Precision: 64 bits
Data:
[63:32] : Slip speed for an induction motor (not used by us)
[31:0] : Distance travelled since reset (m)
Frequency: 200ms",,
,,,,,,,
,,,,,,,
Sunscatter A,0x60X,,,,,,
Heartbeat,0x600,1,0,OUT,"Data: 
[7:0] Seconds/heartbeat cycles since startup
Frequency: 1Hz",,
Set Mode; BOARD OVERRIDE ENABLE/DISABLE,0x601,1,0,IN,"Data: 
[7:0]
x00 - STOP
x01 - RUN ",,
Board Fault,0x602,2,0,OUT,"Data: 
[15:0]: Error ID (See User Documentation for list of faults)
Frequency: Asynchronous, on error",,
Acknowledge Fault,0x603,1,0,IN,"Data:
[7:0] : x01 - Acknowledge Fault, return to STOP state",,
Sensor Configure,0x604,5,0,IN,"Data:
[39:32] : Enabled Voltage and Current Sensors, bit packed
[31:24] : Sensor filter type (See User Documentation for list of filter types)
[23:16] : Sensor filter length, in samples
[15:0] : Sensor sampling frequency, in Hz",,
Sensor Configure 2,0x605,5,0,IN,"Data:
[39:32] : Enabled Voltage and Current Sensors, bit packed
[31:0] : Slope correction, signed float, unitless",,
Sensor Configure 3,0x606,5,0,IN,"Data:
[39:32] : Enabled Voltage and Current Sensors, bit packed
[31:0] : Y-intercept, signed float, in units of sensor (V, A)",,
Controller Configure,0x607,N/A,0,IN,"Reserved, Unused",,
Debug Configure,0x608,1,0,IN,"Data: 
[7:0]
0x00 - NONE (except heartbeat)
0x01 - Sensor Measurements at 1 Hz
0x02 - Sensor Measurements at 10 Hz
0x03 - Sensor Measurements at 100 Hz
0x04 - Sensor Measurements at 100 Hz and Voltage Setpoint at algorithm rate
0x05 - 0xFF - Reserved",,
Operating Setpoint,0x609,8,0,OUT,"Data: 
[63:32] : Frequency setpoint (Hz, signed float)
[31:0] : Duty Cycle setpoint (Unitless, signed float)
Frequency: Algorithm dependent.",,
Input Voltage Measurement,0x60A,4,0,OUT,"Data: 
[31:0] : Voltage measurement (V, signed float)
Frequency: 1 Hz",,
Input Current Measurement,0x60B,4,0,OUT,"Data: 
31:0] : Current measurement (A, signed float)
Frequency: 1 Hz",,
Output Voltage Measurement,0x60C,4,0,OUT,"Data: 
[31:0] : Voltage measurement (V, signed float)
Frequency: 1 Hz",,
Output Current Measurement,0x60D,4,0,OUT,"Data: 
[31:0] : Current measurement (A, signed float)
Frequency: 1 Hz",,
Sunscatter B,0x61X,Same as Sunscatter A.,,,,,
Sunscatter C,0x62X,Same as Sunscatter A.,,,,,
Blackbody A,0x65X,,,,,,
Heartbeat,0x650,1,0,OUT,"Data: 
[7:0] Seconds/heartbeat cycles since startup
Frequency: 1Hz",,
Set Mode,0x651,1,0,IN,"Data: 
[7:0]
x00 - STOP
x01 - RUN ",,
Board Fault,0x652,2,0,OUT,"Data: 
[15:0]: Error ID (See User Documentation for list of faults)
Frequency: Asynchronous, on error",,
Acknowledge Fault,0x653,1,0,IN,"Data:
[7:0] : x01 - Acknowledge Fault, return to STOP state",,
Temperature Sensor Configure,0x654,3,0,IN,"Data:
[23:16] : Enabled RTDs, bit packed
[15:0] : RTD Sample Frequency in Hz",,
Irradiance Sensor Configure,0x655,3,0,IN,"Data:
[23:16] : Enabled Irradiance Sensors, bit packed
[15:0] : Irradiance Sample Frequency in Hz",,
Temperature Measurement,0x656,5,0,OUT,"Data:
[39:32] : RTD ID, bit packed
[31:0] : Temperature measurement (C, signed float)
Frequency: 2Hz (per sensor)",,
Irradiance Measurement,0x657,5,0,OUT,"Data:
[39:32] : Irradiance Sensor, bit packed
[31:0] : Irradiance measurement (W/m^2, signed float)
Frequency: 10Hz (per sensor)",,
PV Curve Tracer,0x66X,,,,,,
PV Curve Tracer Profile,0x660,5,0,OUT,"Data:
[39:27]: Test ID
[26:24]: Test Regime (CELL|MODULE|ARRAY)
[23:16]: Start PWM 0 - 100
[15:8]: End PWM 0 - 100
[7:0]: PWMResolution (START PWM - END PWM)/250",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
